# Data table taken from IERS 2010 implementation of the conventional mean pole version 2015
# ftp://maia.usno.navy.mil/conventions/2010/2010_update/chapter7/software/IERS_CMP_2015.F
#
# As described in the source code a data point for 2016.00 collected from 
# http://hpiers.obspm.fr/eoppc/eop/eopc01/mean-pole.tab is added in addition to the values
# from the Fortran code
#
# Observed angular coordinates of mean pole
# columns: Decimal year, x (arcseconds) and y (arcseconds)
#
1970.00   0.002117  0.219438
1971.00   0.005376	0.225514
1972.00   0.008752	0.231446
1973.00   0.012200  0.237249
1974.00   0.015675	0.242939
1975.00   0.019134	0.248524
1976.00   0.022536	0.254008
1977.00   0.025841	0.25939
1978.00   0.029016	0.264667
1979.00   0.032029	0.269833
1980.00   0.034850	0.274883
1981.00   0.037453	0.279812
1982.00   0.039815	0.284619
1983.00   0.041917	0.289304
1984.00   0.043746	0.293872
1985.00   0.045297	0.298326
1986.00   0.046571	0.302667
1987.00   0.047582	0.306895
1988.00   0.048352	0.311002
1989.00   0.048912	0.314978
1990.00   0.049304	0.318804
1991.00   0.049576	0.322462
1992.00   0.049783	0.32593
1993.00   0.049983	0.329189
1994.00   0.050238	0.332221
1995.00   0.050608	0.335012
1996.00   0.051151	0.337554
1997.00   0.051918	0.339844
1998.00   0.052955	0.341881
1999.00   0.054299	0.34367
2000.00   0.055981	0.345218
2001.00   0.058022	0.346532
2002.00   0.060436	0.347619
2003.00   0.063229	0.34849
2004.00   0.066403	0.349153
2005.00   0.069953	0.349618
2006.00   0.073868	0.349899
2007.00   0.078133	0.350008
2008.00   0.082731	0.349963
2009.00   0.087643	0.349779
2010.00   0.092851	0.349474
2011.00   0.098339	0.349062
2012.00   0.104098	0.348553
2013.00   0.110120	0.347955
2014.00   0.116401	0.347271
2015.00   0.122942	0.346502
2016.00   0.099955  0.353691




















































































